val,count
0.0,2009870
-666666666.0,255153
10.0,47151
9.0,46770
6.0,44102
11.0,44058
8.0,43036
12.0,42065
13.0,39921
14.0,37325
7.0,36899
16.0,36058
15.0,35446
17.0,34624
18.0,34109
19.0,33068
20.0,31676
21.0,30494
22.0,29811
23.0,28462
24.0,28147
25.0,27349
26.0,26777
5.0,26517
27.0,25666
28.0,25402
29.0,25177
37.0,25135
30.0,24992
31.0,24544
32.0,24231
34.0,23246
33.0,23031
36.0,22609
35.0,22565
38.0,21196
39.0,20775
4.0,20589
40.0,20509
41.0,20050
42.0,19659
43.0,19300
44.0,18929
45.0,18756
46.0,18332
47.0,18083
48.0,17823
49.0,17688
1.0,17424
51.0,17238
50.0,17031
53.0,16575
52.0,16113
55.0,16108
54.0,15978
59.0,15801
56.0,15590
57.0,15169
58.0,14871
60.0,14511
61.0,14287
65.0,14202
3.0,14177
62.0,14164
64.0,13822
63.0,13789
2.0,13552
67.0,13370
66.0,13330
71.0,13132
73.0,12992
68.0,12771
69.0,12599
70.0,12536
75.0,12117
72.0,12000
74.0,11803
77.0,11571
85.0,11384
76.0,11375
78.0,11346
79.0,11180
81.0,10987
80.0,10966
82.0,10847
83.0,10745
84.0,10435
88.0,10135
86.0,10048
89.0,9874
87.0,9833
90.0,9666
92.0,9553
95.0,9451
94.0,9385
93.0,9359
91.0,9320
97.0,9041
96.0,8970
99.0,8871
98.0,8756
100.0,8652
102.0,8537
101.0,8345
104.0,8179
103.0,8178
106.0,8150
105.0,8138
107.0,8019
108.0,7992
111.0,7951
109.0,7785
110.0,7778
112.0,7680
114.0,7495
115.0,7400
116.0,7347
113.0,7241
117.0,7168
122.0,6988
118.0,6901
119.0,6886
121.0,6764
120.0,6732
125.0,6635
123.0,6603
124.0,6437
127.0,6400
126.0,6335
130.0,6331
129.0,6295
128.0,6242
131.0,6205
134.0,6092
137.0,5984
132.0,5952
133.0,5920
138.0,5915
136.0,5886
135.0,5797
139.0,5699
140.0,5611
142.0,5561
143.0,5507
146.0,5442
141.0,5393
145.0,5350
148.0,5329
144.0,5260
150.0,5245
147.0,5165
149.0,4997
153.0,4980
155.0,4974
151.0,4965
154.0,4940
156.0,4897
152.0,4877
158.0,4861
161.0,4728
157.0,4681
160.0,4672
162.0,4612
159.0,4599
164.0,4472
165.0,4432
163.0,4400
167.0,4351
166.0,4343
171.0,4339
168.0,4311
170.0,4159
172.0,4146
174.0,4109
169.0,4090
176.0,4003
173.0,3950
175.0,3923
177.0,3903
178.0,3879
181.0,3831
179.0,3821
182.0,3768
180.0,3721
187.0,3702
184.0,3701
183.0,3674
190.0,3604
186.0,3519
189.0,3515
188.0,3486
193.0,3485
185.0,3485
194.0,3405
198.0,3373
192.0,3336
197.0,3316
195.0,3297
200.0,3287
196.0,3223
199.0,3222
191.0,3202
201.0,3113
203.0,3086
207.0,3085
205.0,3058
208.0,3043
209.0,3017
206.0,2991
202.0,2986
204.0,2973
210.0,2939
211.0,2928
215.0,2903
213.0,2874
212.0,2844
250001.0,2754
220.0,2732
218.0,2720
214.0,2715
216.0,2714
219.0,2656
222.0,2645
217.0,2622
226.0,2619
227.0,2604
221.0,2538
223.0,2530
225.0,2523
230.0,2509
228.0,2454
229.0,2401
233.0,2383
231.0,2360
232.0,2348
224.0,2342
234.0,2314
237.0,2304
235.0,2297
239.0,2279
238.0,2270
240.0,2250
241.0,2217
236.0,2203
242.0,2182
246.0,2158
250.0,2125
243.0,2064
249.0,2062
251.0,2034
245.0,2028
244.0,2025
252.0,2013
247.0,2013
248.0,1972
253.0,1955
257.0,1937
254.0,1936
258.0,1931
256.0,1917
255.0,1911
261.0,1906
260.0,1844
264.0,1782
262.0,1782
266.0,1777
272.0,1770
259.0,1756
263.0,1737
269.0,1726
267.0,1726
265.0,1721
268.0,1691
270.0,1645
274.0,1637
273.0,1626
275.0,1624
271.0,1607
280.0,1602
276.0,1598
278.0,1569
277.0,1554
279.0,1553
288.0,1549
284.0,1528
281.0,1527
289.0,1457
286.0,1456
290.0,1455
283.0,1453
282.0,1448
294.0,1425
291.0,1413
292.0,1404
300.0,1396
298.0,1385
293.0,1382
285.0,1378
287.0,1375
301.0,1364
297.0,1362
295.0,1343
316.0,1322
302.0,1313
296.0,1312
309.0,1308
299.0,1298
30.5,1286
33.5,1285
304.0,1278
34.5,1269
35.5,1258
303.0,1258
30.8,1251
306.0,1251
307.0,1238
305.0,1238
311.0,1231
32.3,1228
308.0,1227
33.3,1223
29.5,1218
30.6,1212
32.5,1202
32.8,1198
35.3,1195
33.8,1194
35.1,1186
32.4,1183
33.6,1181
29.8,1180
318.0,1180
310.0,1179
313.0,1178
30.7,1176
35.8,1174
29.9,1174
315.0,1174
34.4,1173
314.0,1169
31.5,1168
35.6,1167
312.0,1164
30.9,1159
28.8,1158
33.9,1153
34.8,1153
34.6,1149
319.0,1144
324.0,1140
30.4,1137
30.3,1137
32.2,1137
31.3,1135
35.9,1132
35.7,1129
32.7,1128
29.6,1126
37.5,1126
36.3,1125
32.6,1122
34.3,1120
323.0,1120
28.9,1118
31.8,1117
34.9,1115
34.2,1114
35.4,1112
38.5,1109
36.5,1108
30.1,1107
31.4,1106
33.1,1106
32.1,1103
320.0,1098
317.0,1095
36.4,1094
37.3,1090
40.5,1089
31.7,1086
33.4,1081
33.7,1081
32.9,1080
326.0,1079
37.4,1078
28.5,1077
328.0,1075
322.0,1073
29.3,1072
27.9,1069
36.9,1067
34.1,1066
35.2,1063
36.6,1063
27.5,1058
36.1,1057
39.3,1055
38.2,1054
31.6,1053
40.3,1053
29.4,1050
321.0,1048
38.3,1047
330.0,1045
28.6,1041
37.1,1041
38.1,1037
340.0,1035
38.4,1030
333.0,1030
36.8,1030
37.8,1029
325.0,1028
28.4,1025
329.0,1024
37.2,1022
36.2,1021
331.0,1015
332.0,1014
30.2,1013
34.7,1011
31.2,1011
31.9,1009
327.0,1005
37.9,1005
36.7,1005
27.8,1003
338.0,1002
38.6,999
40.6,991
28.7,989
40.2,988
26.8,986
26.9,985
33.2,984
40.8,983
28.3,982
337.0,978
27.6,978
40.4,976
39.5,971
40.1,970
334.0,968
37.6,967
336.0,962
26.6,960
38.8,960
335.0,960
29.7,959
38.9,958
31.1,957
344.0,956
343.0,955
346.0,955
341.0,954
27.3,954
347.0,954
41.2,950
39.1,945
27.7,943
27.4,942
26.5,941
37.7,939
342.0,927
42.5,923
29.2,922
41.1,921
28.1,917
339.0,917
40.9,913
25.8,911
41.5,904
351.0,904
39.6,902
42.3,899
350.0,898
39.2,898
25.5,889
42.1,889
349.0,889
352.0,889
348.0,888
357.0,887
44.3,887
45.5,883
25.9,883
360.0,881
45.1,872
41.6,871
38.7,870
39.4,868
40.7,867
39.8,863
43.5,862
42.6,862
345.0,860
353.0,859
29.1,858
45.3,857
358.0,856
361.0,854
355.0,852
43.3,852
26.7,851
28.2,849
368.0,848
39.9,847
41.3,844
46.5,841
44.5,840
42.2,838
363.0,838
43.1,837
41.4,834
26.3,829
25.7,829
354.0,829
42.9,828
41.8,825
46.3,823
362.0,823
370.0,822
26.4,821
42.8,820
27.2,815
39.7,814
45.4,809
44.1,807
45.2,805
25.6,804
356.0,798
369.0,796
364.0,793
367.0,792
371.0,791
43.4,789
359.0,785
45.8,780
375.0,775
44.2,772
43.6,771
46.1,770
384.0,770
25.4,768
44.4,765
376.0,764
43.2,760
24.8,757
44.9,756
44.6,756
366.0,755
381.0,753
41.7,753
383.0,753
365.0,752
372.0,752
43.7,746
27.1,744
378.0,744
46.2,741
42.7,741
47.1,738
394.0,737
41.9,736
42.4,735
45.9,734
374.0,733
45.7,733
385.0,733
44.8,732
24.9,729
47.2,728
47.5,728
48.3,724
47.3,724
387.0,721
373.0,717
43.8,714
24.5,711
43.9,710
26.2,708
389.0,706
47.4,705
397.0,704
382.0,703
386.0,703
406.0,701
49.5,699
392.0,698
45.6,698
46.4,697
25.3,696
396.0,693
380.0,690
0.5,689
377.0,687
395.0,680
393.0,680
49.3,679
400.0,678
379.0,676
391.0,672
403.0,672
413.0,671
405.0,668
48.5,665
399.0,661
23.8,657
44.7,657
26.1,653
23.9,653
50.1,652
49.1,652
46.8,651
48.4,650
390.0,650
48.8,650
407.0,649
24.7,643
48.1,643
46.7,642
46.9,641
50.5,640
50.3,638
46.6,636
49.4,635
22.9,626
408.0,625
24.6,625
417.0,622
415.0,621
398.0,620
421.0,616
50.4,615
404.0,609
388.0,609
47.7,608
401.0,607
49.6,602
24.3,601
25.1,601
426.0,600
402.0,599
416.0,599
23.5,598
410.0,597
409.0,597
425.0,596
47.6,588
418.0,587
50.2,586
47.8,586
49.2,581
25.2,579
24.4,579
22.8,578
411.0,572
419.0,572
420.0,571
433.0,570
48.2,569
47.9,567
429.0,566
48.6,566
50.8,564
422.0,563
438.0,562
50.6,561
431.0,558
437.0,554
21.5,552
412.0,550
424.0,549
22.5,548
443.0,547
48.7,547
423.0,546
450.0,544
52.5,544
52.3,541
414.0,541
434.0,538
105000.0,538
23.7,536
432.0,535
49.9,533
51.3,533
51.5,531
436.0,530
53.1,528
428.0,526
435.0,526
23.6,526
456.0,526
451.0,526
49.8,525
457.0,525
444.0,523
461.0,522
49.7,522
23.4,517
22.6,515
21.8,514
427.0,511
458.0,510
474.0,509
52.4,509
475.0,506
50.7,506
471.0,504
